"country","countryname","oecdmember","eumember","edate","date","party","partyname","parfam","coderid","coderyear","manual","testresult","pervote","voteest","presvote","absseat","totseats","progtype","datasetorigin","per101","per102","per103","per104","per105","per106","per107","per108","per109","per110","per201","per202","per203","per204","per301","per302","per303","per304","per305","per401","per402","per403","per404","per405","per406","per407","per408","per409","per410","per411","per412","per413","per414","per415","per416","per501","per502","per503","per504","per505","per506","per507","per601","per602","per603","per604","per605","per606","per607","per608","per701","per702","per703","per704","per705","per706","per1011","per1012","per1013","per1014","per1015","per1016","per1021","per1022","per1023","per1024","per1025","per1026","per1031","per1032","per1033","per2021","per2022","per2023","per2031","per2032","per2033","per2041","per3011","per3051","per3052","per3053","per3054","per3055","per4011","per4012","per4013","per4014","per4121","per4122","per4123","per4124","per4131","per4132","per5021","per5031","per5041","per5061","per6011","per6012","per6013","per6014","per6061","per6071","per6072","per6081","per7051","per7052","per7061","per7062","peruncod","total","rile","planeco","markeco","welfare","intpeace"
43,"Switzerland",0,0,10/28/1951,195110,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,25.8119659423828,0,998,49,196,1,10,0,0,0,4.09836053848267,0,0,0.819672107696533,0,1.63934421539307,0,9.8360652923584,14.7540979385376,1.63934421539307,2.4590163230896,0,0,0,0,11.4754095077515,0,0,5.73770475387573,0,2.4590163230896,0,0,0,1.63934421539307,0.819672107696533,0.819672107696533,5.73770475387573,0,3.27868843078613,0,0,0,1.63934421539307,8.19672107696533,1.63934421539307,0,0.819672107696533,0,0,0,0,0,0,1.63934421539307,0,0,11.4754095077515,0,0,0,0,2.4590163230896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9180326461792,122,-9.01639366149902,11.4754095077515,3.27868843078613,9.8360652923584,0
43,"Switzerland",0,0,10/30/1955,195510,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,26.8491477966309,0,998,53,196,1,10,0,0,0,0,21.212121963501,1.5151515007019,0,0,1.5151515007019,0,3.03030300140381,0,0,0,0,0,0,0,6.06060600280762,0,0,3.03030300140381,0,0,0,0,0,0,0,9.09090900421143,16.6666660308838,0,0,0,0,0,3.03030300140381,4.54545450210571,3.03030300140381,0,0,0,0,0,0,0,1.5151515007019,1.5151515007019,0,0,9.09090900421143,0,0,0,0,15.151515007019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-42.424243927002,19.6969699859619,0,7.57575750350952,22.7272720336914
43,"Switzerland",0,0,10/25/1959,195910,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,26.2019901275635,0,998,51,196,1,10,0,0,0,0,1.5503876209259,1.16279065608978,3.48837208747864,0,1.5503876209259,0,10.0775194168091,5.8139533996582,0,0,1.16279065608978,0,0,0,5.03875970840454,1.16279065608978,1.93798446655273,2.32558131217957,1.5503876209259,0.775193810462952,0.775193810462952,0.775193810462952,1.5503876209259,0.775193810462952,2.32558131217957,1.93798446655273,7.75193786621094,0,5.42635679244995,0,0,0.775193810462952,3.10077524185181,11.6279067993164,6.20155048370361,0,3.48837208747864,0,0,0,3.48837208747864,0,0,1.16279065608978,3.10077524185181,0,1.93798446655273,0,2.32558131217957,0,0,3.48837208747864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387596905231476,258,-6.97674417495728,11.6279067993164,6.58914709091187,17.8294582366943,2.71317839622498
43,"Switzerland",10,0,10/27/1963,196310,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,26.4244804382324,0,998,53,200,1,10,0,0,0,0,8.02469158172607,1.85185182094574,2.46913576126099,1.23456788063049,4.32098770141602,0,4.93827152252197,8.64197540283203,1.23456788063049,0,0.617283940315247,0,0,0,4.93827152252197,0.617283940315247,4.32098770141602,0,0,0,0,0,3.08641982078552,0,0,5.55555534362793,4.32098770141602,0,0,0,0,1.23456788063049,1.85185182094574,8.02469158172607,13.580246925354,0.617283940315247,4.32098770141602,0,0.617283940315247,0,1.23456788063049,0,0,0,0,0,0.617283940315247,0,0,0,0,10.4938268661499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23456788063049,162,-25.3086414337158,4.32098770141602,0.617283940315247,21.6049385070801,9.87654304504395
43,"Switzerland",10,0,10/29/1967,196710,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,23.3438110351563,0,998,51,200,1,10,0,0,0,0.505050480365753,4.04040384292603,0,7.57575750350952,2.5252525806427,0,0,1.01010096073151,2.02020192146301,0,0,0,0.505050480365753,0,0,5.55555534362793,0,1.01010096073151,3.03030300140381,3.53535342216492,0,0,2.02020192146301,0,3.03030300140381,1.01010096073151,8.58585834503174,10.6060609817505,0,0.505050480365753,0,0,2.5252525806427,2.02020192146301,10.6060609817505,3.53535342216492,0,9.09090900421143,0,0,2.5252525806427,1.01010096073151,0,0,2.02020192146301,0,0,2.5252525806427,2.02020192146301,0,0,0,5.0505051612854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,-32.3232307434082,17.1717166900635,0.505050480365753,14.1414136886597,4.04040384292603
43,"Switzerland",10,0,10/31/1971,197110,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,22.8822078704834,0,998,46,200,1,10,0,0,0,0.607287466526031,2.02429151535034,1.01214575767517,1.82186233997345,0.404858291149139,0.404858291149139,0,7.08502006530762,9.10931205749512,1.01214575767517,0.20242914557457,1.82186233997345,0.809716582298279,0,1.41700398921967,4.25101232528687,0,1.21457493305206,2.42914986610413,0.20242914557457,0,0,0.404858291149139,0.20242914557457,0.607287466526031,0,2.42914986610413,6.47773265838623,0,1.41700398921967,0,0,6.07287454605103,3.8461537361145,11.943320274353,4.65587043762207,0.20242914557457,7.2874493598938,0,0.20242914557457,1.01214575767517,1.61943316459656,0,0,0.809716582298279,0.607287466526031,0,3.23886632919312,0,1.82186233997345,0,0,8.70445346832275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607287466526031,494,-19.433198928833,9.10931205749512,1.41700398921967,16.5991897583008,3.03643727302551
43,"Switzerland",10,0,10/26/1975,197510,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,24.8730850219727,0,998,55,200,1,10,0,0,0,2.59740257263184,0.865800857543945,0.432900428771973,3.46320343017578,0.432900428771973,0.432900428771973,0,5.62770557403564,9.5238094329834,0.432900428771973,0,0.865800857543945,0,0.432900428771973,1.29870128631592,3.46320343017578,0,0,6.92640686035156,0.865800857543945,0.432900428771973,0.865800857543945,0,1.29870128631592,2.16450214385986,1.73160171508789,2.16450214385986,7.79220771789551,0.865800857543945,4.7619047164917,0,0,3.03030300140381,0,10.8225107192993,10.3896102905273,0,2.59740257263184,0,0.865800857543945,0,0,0.432900428771973,0.432900428771973,1.73160171508789,0,0,4.32900428771973,0,0.865800857543945,0,0,4.7619047164917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,-29.0043296813965,15.584415435791,4.7619047164917,21.212121963501,1.29870128631592
43,"Switzerland",10,0,10/21/1979,197910,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,24.437801361084,0,998,51,200,1,10,0,0,0,0.115874856710434,1.62224793434143,1.39049828052521,4.40324449539185,0.695249140262604,0.347624570131302,0,8.11123943328857,6.60486698150635,0.926998853683472,0,1.27462339401245,0,0.231749713420868,1.85399770736694,7.06836605072021,0.231749713420868,0.695249140262604,6.83661651611328,0,2.20162224769592,0,0,1.85399770736694,1.27462339401245,0.115874856710434,0.695249140262604,6.37311697006226,0,2.43337202072144,0,0,8.45886421203613,0.115874856710434,10.5446119308472,4.51911926269531,0,1.27462339401245,0,0.347624570131302,0,0.695249140262604,0.347624570131302,0.926998853683472,0.231749713420868,0,0,7.41599082946777,0,1.15874850749969,0.115874856710434,0.347624570131302,5.6778678894043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463499426841736,863,-18.6558513641357,13.2097339630127,2.66512155532837,15.0637311935425,3.01274633407593
43,"Switzerland",10,0,10/23/1983,198310,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,22.8543071746826,0,998,47,200,1,10,0,0,0,0.347222208976746,3.47222232818604,1.38888883590698,6.94444465637207,0.347222208976746,0.694444417953491,0,2.77777767181396,6.59722232818604,0,0,0.694444417953491,0,0.347222208976746,0,3.47222232818604,0,2.43055558204651,3.125,0,1.73611116409302,0,0,4.16666650772095,0.347222208976746,0,2.77777767181396,11.1111106872559,0,1.38888883590698,0,0,18.4027786254883,0,5.20833349227905,6.59722232818604,0,1.04166662693024,0,0,0,0.347222208976746,0.694444417953491,0.347222208976746,0,0,0,4.86111116409302,0,0.347222208976746,0,0,7.98611116409302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,-34.0277786254883,14.2361106872559,1.38888883590698,11.8055553436279,4.86111116409302
43,"Switzerland",10,0,10/18/1987,198710,43320,"SPS/PSS Social Democratic Party",30,229,1991,1,0.412000000476837,18.4172611236572,0,998,41,200,1,10,0,0,0,0.115740738809109,3.70370364189148,0.115740738809109,5.78703689575195,0,0.694444417953491,0,5.43981504440308,5.90277767181396,0.694444417953491,1.15740740299225,0.462962955236435,0.462962955236435,0.231481477618217,2.19907402992249,5.90277767181396,1.04166662693024,1.38888883590698,7.06018495559692,0.347222208976746,0,0.231481477618217,0,2.66203713417053,0.231481477618217,0.694444417953491,1.73611116409302,3.35648155212402,0.347222208976746,1.50462961196899,0,0,13.7731485366821,0,6.36574077606201,3.81944441795349,0.347222208976746,1.27314817905426,0,0,0,1.96759259700775,0,3.81944441795349,1.04166662693024,0,0,0.92592591047287,0,2.3148148059845,0,0,10.3009262084961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578703701496124,864,-9.60648155212402,10.7638893127441,2.54629635810852,10.1851854324341,3.81944441795349
43,"Switzerland",10,0,10/20/1991,199110,43320,"SPS/PSS Social Democratic Party",30,230,1996,1,0.644999980926514,18.4911365509033,0,998,41,200,1,100,0,0,0,0,2.45398783683777,0,1.84049081802368,5.52147245407104,0,0,0,13.4969329833984,0,0,0.613496959209442,0,0,0,2.45398783683777,0,1.22699391841888,4.90797567367554,0,0,0,0,3.06748461723328,1.22699391841888,0,3.68098163604736,0,0,0.613496959209442,0,0,4.29447841644287,0,15.9509201049805,6.13496923446655,0,0.613496959209442,0,0,0,0,0,1.22699391841888,0,0,0,0.613496959209442,0,6.13496923446655,0,0.613496959209442,7.36196327209473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9509201049805,163,-24.5398769378662,4.90797567367554,0.613496959209442,22.0858898162842,2.45398783683777
43,"Switzerland",10,0,10/22/1995,199510,43320,"SPS/PSS Social Democratic Party",30,230,1996,1,0.644999980926514,21.9082698822021,0,998,54,200,1,100,0,0,0,0,3.26530623435974,0,2.85714292526245,7.3469386100769,0,0,0.408163279294968,6.93877553939819,1.22448980808258,0,0.816326558589935,0,0,0,6.93877553939819,0,0,1.63265311717987,0,0.816326558589935,0,0,6.12244892120361,0,0,0.816326558589935,0,0,1.63265311717987,0,0,12.6530609130859,0,18.3673477172852,11.0204086303711,0,1.63265311717987,0,0,0,0,3.67346930503845,0.408163279294968,0,0,0,2.85714292526245,0,0.408163279294968,0,1.22448980808258,5.7142858505249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22448980808258,245,-19.5918369293213,1.63265311717987,1.63265311717987,29.3877544403076,3.26530623435974
